Time,Steering Wheel,Break,Activating Signal
11:49.128,423,32767,0
11:49.142,423,32767,0
11:49.161,423,32767,0
11:49.190,423,32767,0
11:49.206,423,32767,0
11:49.234,423,32767,0
11:49.251,423,32767,0
11:49.266,423,32767,0
11:49.281,423,32767,0
11:49.311,423,32767,0
11:49.325,423,32767,0
11:49.342,423,32767,0
11:49.370,423,32767,0
11:49.387,423,32767,0
11:49.402,423,32767,0
11:49.432,423,32767,0
11:49.447,423,32767,0
11:49.462,423,32767,0
11:49.495,423,32767,0
11:49.510,423,32767,0
11:49.527,423,32767,0
11:49.542,423,32767,0
11:49.573,423,32767,0
11:49.587,423,32767,0
11:49.602,423,32767,0
11:49.634,423,32767,0
11:49.649,423,32767,0
11:49.667,423,32767,0
11:49.682,423,32767,0
11:49.715,423,32767,0
11:49.730,423,32767,0
11:49.749,421,32767,0
11:49.767,404,32767,0
11:49.784,378,32767,0
11:49.816,296,32767,0
11:49.831,231,32767,0
11:49.845,173,32767,0
11:49.862,107,32767,0
11:49.893,-78,32767,0
11:49.911,-169,32767,0
11:49.926,-262,32767,0
11:49.940,-334,32767,0
11:49.972,-452,32767,0
11:49.987,-497,32767,0
11:50.005,-541,32767,0
11:50.032,-602,32767,0
11:50.051,-622,32767,0
11:50.067,-647,32767,0
11:50.085,-665,32767,0
11:50.101,-678,32767,0
11:50.131,-686,32767,0
11:50.144,-686,32767,0
11:50.163,-686,32767,0
11:50.194,-686,32767,0
11:50.208,-686,32767,0
11:50.224,-686,32767,0
11:50.254,-686,32767,0
11:50.267,-686,32767,0
11:50.283,-686,32767,0
11:50.314,-686,32767,0
11:50.330,-686,32767,0
11:50.344,-686,32767,0
11:50.375,-686,32767,0
11:50.389,-686,32767,0
11:50.404,-686,32767,0
11:50.422,-685,32767,0
11:50.449,-685,32767,0
11:50.466,-685,32767,0
11:50.494,-685,32767,0
11:50.511,-685,32767,0
11:50.526,-682,32767,0
11:50.558,-682,32767,0
11:50.572,-682,32767,0
11:50.588,-681,32767,0
11:50.606,-678,32767,4
11:50.621,-667,32767,0
11:50.653,-647,32767,0
11:50.668,-640,32767,0
11:50.686,-629,32767,0
11:50.702,-626,32767,0
11:50.733,-621,32767,0
11:50.747,-621,32767,0
11:50.764,-621,32767,0
11:50.793,-621,32767,0
11:50.809,-621,32767,0
11:50.824,-621,32767,0
11:50.854,-621,32767,0
11:50.867,-621,32767,0
11:50.883,-621,32767,0
11:50.913,-621,32767,0
11:50.926,-621,32767,0
11:50.944,-621,32767,0
11:50.971,-621,32767,0
11:50.989,-621,32767,0
11:51.003,-621,32767,0
11:51.035,-626,32767,0
11:51.051,-628,32767,0
11:51.069,-640,32767,0
11:51.084,-655,32767,0
11:51.114,-701,32767,0
11:51.130,-737,32767,0
11:51.147,-772,32767,0
11:51.161,-805,32767,0
11:51.193,-865,32767,0
11:51.208,-896,32767,0
11:51.222,-929,32767,0
11:51.252,-993,32767,0
11:51.268,-1021,32767,0
11:51.286,-1059,32767,0
11:51.314,-1113,32767,0
11:51.331,-1133,32767,0
11:51.345,-1152,32767,0
11:51.375,-1171,32767,0
11:51.389,-1179,32767,0
11:51.404,-1180,32767,0
11:51.433,-1180,32767,0
11:51.446,-1180,32767,0
11:51.462,-1180,32767,0
11:51.491,-1180,32767,0
11:51.508,-1180,32767,0
11:51.524,-1179,32767,0
11:51.542,-1179,32767,0
11:51.570,-1179,32767,0
11:51.588,-1179,32767,0
11:51.602,-1179,32767,0
11:51.632,-1178,32767,0
11:51.646,-1178,28346,0
11:51.676,-1178,23405,0
11:51.691,-1178,22625,0
11:51.705,-1177,22105,0
11:51.722,-1177,21845,0
11:51.749,-1173,19505,0
11:51.766,-1172,17164,0
11:51.793,-1166,10403,0
11:51.810,-1159,6762,0
11:51.824,-1144,261,0
11:51.855,-1114,-6656,0
11:51.869,-1099,-8448,0
11:51.883,-1084,-9472,0
11:51.901,-1068,-10240,0
11:51.929,-1041,-10752,0
11:51.946,-1029,-10752,0
11:51.961,-1019,-10752,0
11:51.991,-1006,-10752,0
11:52.006,-996,-11008,0
11:52.036,-987,-11008,0
11:52.051,-981,-11264,0
11:52.065,-976,-11264,0
11:52.083,-974,-11520,0
11:52.111,-963,-11008,0
11:52.128,-962,-11008,0
11:52.143,-955,-10752,0
11:52.174,-955,-8704,0
11:52.188,-955,-6656,0
11:52.204,-955,-5120,0
11:52.234,-955,-3072,0
11:52.248,-955,-2560,0
11:52.264,-955,-1536,0
11:52.292,-955,2081,0
11:52.310,-955,4942,0
11:52.323,-955,8062,0
11:52.355,-948,11703,0
11:52.370,-936,13784,0
11:52.384,-928,15084,0
11:52.402,-915,16124,0
11:52.430,-891,17424,0
11:52.446,-881,17684,0
11:52.474,-869,17944,0
11:52.492,-862,17944,0
11:52.507,-857,18204,0
11:52.521,-850,18204,0
11:52.553,-848,18464,0
11:52.568,-848,18464,0
11:52.584,-844,18464,0
11:52.613,-832,19765,0
11:52.629,-819,20545,0
11:52.643,-798,21585,0
11:52.674,-757,22365,0
11:52.689,-724,22885,0
11:52.704,-698,23405,0
11:52.721,-661,24185,0
11:52.751,-576,25486,0
11:52.769,-516,26526,0
11:52.783,-430,27046,0
11:52.815,-255,27826,0
11:52.830,-124,27826,0
11:52.845,-6,27826,0
11:52.862,90,28086,0
11:52.889,273,28086,0
11:52.906,350,28086,0
11:52.934,476,28086,0
11:52.952,528,28086,0
11:52.966,572,28086,0
11:52.997,604,28086,0
11:53.011,605,27826,0
11:53.025,604,27306,0
11:53.042,600,27046,0
11:53.070,586,25486,0
11:53.088,567,25226,0
11:53.102,539,25226,0
11:53.136,456,24966,0
11:53.153,369,24445,0
11:53.171,273,24185,0
11:53.187,147,23925,0
11:53.204,22,23405,0
11:53.233,-209,23405,0
11:53.249,-326,23405,0
11:53.263,-430,23405,0
11:53.294,-602,23405,0
11:53.307,-693,23145,0
11:53.321,-777,23145,0
11:53.351,-962,23145,0
11:53.365,-1026,23145,0
11:53.384,-1111,23145,0
11:53.401,-1196,23145,0
11:53.433,-1343,23145,0
11:53.449,-1407,23145,0
11:53.466,-1473,23145,0
11:53.494,-1596,23145,0
11:53.512,-1656,23145,0
11:53.526,-1722,23145,0
11:53.543,-1762,23145,0
11:53.562,-1820,23145,0
11:53.593,-1933,23405,0
11:53.608,-1990,23405,0
11:53.621,-2049,23405,0
11:53.652,-2180,23405,0
11:53.666,-2245,23405,0
11:53.683,-2317,23665,0
11:53.710,-2490,23665,0
11:53.727,-2579,23665,0
11:53.742,-2679,23665,0
11:53.772,-2867,23665,0
11:53.787,-2992,23665,0
11:53.816,-3182,23665,0
11:53.829,-3316,23665,0
11:53.843,-3407,23665,0
11:53.873,-3629,23665,0
11:53.887,-3734,23925,0
11:53.903,-3837,23925,0
11:53.932,-4047,24185,0
11:53.949,-4154,24706,0
11:53.965,-4264,25226,0
11:53.982,-4374,25226,0
11:54.010,-4578,25746,0
11:54.027,-4657,26266,0
11:54.054,-4809,27566,0
11:54.071,-4891,28346,0
11:54.085,-4970,28346,0
11:54.115,-5098,28606,0
11:54.129,-5173,28866,0
11:54.143,-5235,28866,0
11:54.174,-5383,29386,0
11:54.188,-5451,29386,0
11:54.206,-5531,29646,0
11:54.233,-5700,29646,0
11:54.249,-5783,29646,0
11:54.264,-5882,29646,0
11:54.293,-6052,29906,0
11:54.307,-6144,29646,0
11:54.322,-6232,29646,0
11:54.352,-6394,29646,0
11:54.368,-6465,29646,0
11:54.385,-6543,29906,0
11:54.412,-6684,29646,0
11:54.429,-6743,29646,0
11:54.443,-6807,29646,0
11:54.474,-6893,29646,0
11:54.489,-6937,29646,0
11:54.503,-6959,29906,0
11:54.534,-6970,30947,0
11:54.548,-6970,31987,0
11:54.563,-6970,32767,0
11:54.589,-6970,32767,0
11:54.606,-6969,32767,0
11:54.633,-6918,32767,0
11:54.650,-6860,32767,0
11:54.665,-6760,32767,0
11:54.694,-6537,32767,0
11:54.708,-6379,32767,0
11:54.721,-6224,32767,0
11:54.751,-5877,32767,0
11:54.766,-5691,32767,0
11:54.784,-5477,32767,0
11:54.815,-5043,32767,0
11:54.829,-4816,32767,0
11:54.843,-4616,32767,0
11:54.872,-4152,32767,0
11:54.887,-3931,32767,0
11:54.903,-3707,32767,0
11:54.929,-3208,32767,0
11:54.946,-2927,32767,0
11:54.972,-2253,32767,0
11:54.987,-1925,32767,0
11:55.002,-1621,32767,0
11:55.030,-1080,32767,0
11:55.045,-804,32767,0
11:55.075,-379,32767,0
11:55.088,-161,32767,0
11:55.102,23,32767,0
11:55.132,372,32767,0
11:55.146,565,32767,0
11:55.164,722,32767,0
11:55.192,1026,32767,0
11:55.209,1169,32767,0
11:55.223,1307,32767,0
11:55.253,1534,32767,0
11:55.266,1712,32767,0
11:55.296,1990,32767,0
11:55.311,2197,32767,0
11:55.325,2355,32767,0
